city_id,city,province,region,degurba,mean_residents,mean_area_km2,collisions,fatalities,injuries,years_recorded,injury_rate,fatality_rate,per_capita_accidents_rate,collision_density,resident_density,injury_rate_log,fatality_rate_log,per_capita_accidents_rate_log,collision_density_log,injury_rate_pct,fatality_rate_pct,per_capita_accidents_rate_pct,collision_density_pct,severity_subscore,frequency_subscore,risk_score_equal,risk_score_frequency_heavy,risk_score_severity_heavy
1008,Alpignano,TO,Piemonte,2,16515.0,11.9193,100.0,1.0,137.0,4,1.37,0.01,15.137753557372086,8.389754431887779,1385.5679444262666,0.8628899551470398,0.009950330853168083,2.7811614683574315,2.2396191407895714,0.43787217149662566,0.25664946407304484,0.16077808654227868,0.8090512107979357,0.3291385470424772,0.4849146486701072,0.4070265978562922,0.4381818181818182,0.37587137753076616
1013,Avigliana,TO,Piemonte,2,12261.75,23.2173,133.0,2.0,183.0,4,1.3759398496240602,0.015037593984962405,27.11684710583726,5.728486947233312,528.1298859040456,0.8653930853651584,0.014925650216675683,3.3363689378197163,1.906350296275353,0.45256053989678446,0.3531163159984121,0.6601826121476776,0.7105994442238984,0.39289400555776105,0.685391028185788,0.5391425168717745,0.5976419213973798,0.48064311234616913
1024,Beinasco,TO,Piemonte,2,17411.5,6.7366,114.0,1.0,143.0,4,1.2543859649122806,0.008771929824561403,16.368492088562157,16.922483151738266,2584.6124157586914,0.8128776365007243,0.008733679968754604,2.85465776523324,2.8860559666824184,0.16752679634775705,0.23461691147280667,0.21714966256450974,0.9206034140531957,0.20778086542278684,0.5688765383088528,0.3883287018658198,0.46054783644303293,0.3161095672886066
1028,Borgaro Torinese,TO,Piemonte,2,11739.25,11.1093,64.0,2.0,89.0,4,1.390625,0.03125,13.629490810741743,5.76093903306239,1056.7047428730884,0.8715548380327636,0.030771658666753687,2.6830394099657657,1.9111617906240719,0.48967844382691544,0.6746724890829694,0.10758237395791981,0.7129813418023025,0.6006748709805478,0.4102818578801112,0.5054783644303296,0.4673997618102421,0.5435569670504168
1034,Brandizzo,TO,Piemonte,2,8704.5,6.39,36.0,0.0,62.0,4,1.7222222222222223,0.0,10.33947957952783,5.633802816901409,1362.206572769953,1.001448540214462,0.0,2.4282904047886515,1.8921782169751025,0.9436284239777689,0.08058753473600636,0.03255260023818976,0.7046447002778881,0.4258038904327114,0.3685986502580389,0.3972012703453751,0.3857602223104406,0.4086423183803096
1038,Bruino,TO,Piemonte,2,8442.5,5.5702,37.0,0.0,42.0,4,1.135135135135135,0.0,10.956470239857861,6.642490395317942,1515.6547341208575,0.758529939822797,0.0,2.4812725745162574,2.0337235180359645,0.011710996427153633,0.08058753473600636,0.04168320762207225,0.7570464470027789,0.053036919412465265,0.39936482731242556,0.2262008733624454,0.29546645494243745,0.15693529178245336
1047,Caluso,TO,Piemonte,2,7350.75,39.4924,37.0,1.0,45.0,4,1.2162162162162162,0.02702702702702703,12.583749957487331,0.9368891229704955,186.13074920744242,0.7958013346200287,0.026668247082161325,2.6088742222652535,0.6610831411605241,0.08495434696308059,0.6040095275903136,0.07860262008733625,0.166732830488289,0.3963874553394204,0.12266772528781261,0.2595275903136165,0.20478364430329493,0.314271536323938
1048,Cambiano,TO,Piemonte,2,5877.25,14.1313,32.0,1.0,51.0,4,1.59375,0.03125,13.611808243651367,2.264476728963365,415.90299547812305,0.9531047049968714,0.030771658666753687,2.6818299856366443,1.1830994831043216,0.8463676061929337,0.6746724890829694,0.10639142516871775,0.41564112743152043,0.7433505359269551,0.2610162763001191,0.5021834061135371,0.4057165541881699,0.5986502580389043
1058,Carignano,TO,Piemonte,2,9121.75,50.6791,44.0,1.0,66.0,4,1.5,0.022727272727272728,12.059089538739824,0.8682079989581505,179.99037078401156,0.9162907318741551,0.022472855852058594,2.5694844076922765,0.6249796820865364,0.7254863040889242,0.518261214767765,0.0591504565303692,0.14728066693132194,0.6011512504962286,0.10321556173084556,0.3521834061135371,0.25259626836046045,0.4517705438666137
1059,Carmagnola,TO,Piemonte,2,28179.25,95.7163,258.0,7.0,365.0,4,1.4147286821705427,0.027131782945736434,22.88918264325701,2.6954656625882945,294.4038789631442,0.8815869338658358,0.026770241064604784,3.173425747410319,1.3071065715173997,0.5458515283842795,0.6083763398173878,0.5057562524811433,0.47479158396188964,0.5833664152441445,0.49027391822151645,0.5368201667328305,0.5182016673283047,0.555438666137356
1063,Caselle Torinese,TO,Piemonte,2,13801.25,23.5512,114.0,2.0,169.0,4,1.4824561403508771,0.017543859649122806,20.650303414545785,4.840517680627738,586.0104792961718,0.9092484492487422,0.017391742711869183,3.07501946887897,1.7648194368545995,0.6889638745533943,0.4110758237395792,0.4037316395394998,0.6601826121476776,0.5222310440651052,0.5319571258435887,0.527094084954347,0.5290393013100436,0.5251488685986503
1066,Castellamonte,TO,Piemonte,2,9749.75,38.7063,43.0,2.0,64.0,4,1.4883720930232558,0.046511627906976744,11.0259237416344,1.1109302619986927,251.8905191144594,0.9116287187683437,0.045462374076757336,2.4870646314725753,0.7471287327916935,0.7014688368400159,0.8279078999603017,0.0444620881302104,0.19928543072647875,0.7773322747121874,0.12187375942834458,0.44960301707026595,0.3185113140134974,0.5806947201270344
1068,Castiglione Torinese,TO,Piemonte,2,6493.25,14.1346,36.0,0.0,60.0,4,1.6666666666666667,0.0,13.860547491625919,2.5469415476914805,459.3868945707696,0.9808292530117263,0.0,2.698709881923561,1.2660856962904548,0.9160381103612545,0.08058753473600636,0.11631599841206829,0.45335450575625247,0.4147677649861056,0.2848352520841604,0.34980150853513303,0.32381500595474394,0.375788011115522
1070,Cavour,TO,Piemonte,3,5399.5,48.9599,40.0,1.0,61.0,4,1.525,0.025,18.520233354940274,0.8169951327514967,110.28413048229265,0.9262410627273231,0.0246926125903715,2.9714515355723154,0.5971841106825965,0.7687574434299325,0.5662961492655816,0.3116315998412068,0.13616514489876935,0.647280666931322,0.22389837236998808,0.43558951965065507,0.35091306073838824,0.5202659785629218
