Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;201;001001;1001;Agliè;;TO;0;0;2562;2021;13,1463;2023;2596;2023
1;01;001;201;001002;1002;Airasca;;TO;0;0;3660;2021;15,7393;2023;3686;2023
1;01;001;201;001003;1003;Ala di Stura;;TO;0;0;467;2021;46,3316;2023;472;2023
1;01;001;201;001004;1004;Albiano d'Ivrea;;TO;0;0;1637;2021;11,7397;2023;1617;2023
1;01;001;201;001006;1006;Almese;;TO;0;0;6331;2021;17,8741;2023;6315;2023
1;01;001;201;001007;1007;Alpette;;TO;0;0;240;2021;5,6311;2023;246;2023
1;01;001;201;001008;1008;Alpignano;;TO;0;0;16501;2021;11,9193;2023;16587;2023
1;01;001;201;001009;1009;Andezeno;;TO;0;0;2036;2021;7,4859;2023;2001;2023
1;01;001;201;001010;1010;Andrate;;TO;0;0;474;2021;9,3090;2023;467;2023
1;01;001;201;001011;1011;Angrogna;;TO;0;0;827;2021;38,8781;2023;806;2023
1;01;001;201;001012;1012;Arignano;;TO;0;0;1072;2021;8,1666;2023;1073;2023
1;01;001;201;001013;1013;Avigliana;;TO;0;0;12350;2021;23,2173;2023;12191;2023
1;01;001;201;001014;1014;Azeglio;;TO;0;0;1240;2021;9,9528;2023;1242;2023
1;01;001;201;001015;1015;Bairo;;TO;0;0;790;2021;7,0859;2023;784;2023
1;01;001;201;001016;1016;Balangero;;TO;0;0;3064;2021;13,0065;2023;3061;2023
1;01;001;201;001017;1017;Baldissero Canavese;;TO;0;0;530;2021;4,5064;2023;504;2023
1;01;001;201;001018;1018;Baldissero Torinese;;TO;0;0;3755;2021;15,4046;2023;3728;2023
1;01;001;201;001019;1019;Balme;;TO;0;0;105;2021;62,7105;2023;101;2023
1;01;001;201;001020;1020;Banchette;;TO;0;0;3085;2021;2,0289;2023;3110;2023
1;01;001;201;001021;1021;Barbania;;TO;0;0;1570;2021;12,8027;2023;1562;2023
1;01;001;201;001022;1022;Bardonecchia;;TO;0;0;3044;2021;132,2030;2023;2978;2023
1;01;001;201;001023;1023;Barone Canavese;;TO;0;0;556;2021;3,9864;2023;554;2023
1;01;001;201;001024;1024;Beinasco;;TO;0;0;17464;2021;6,7366;2023;17416;2023
1;01;001;201;001025;1025;Bibiana;;TO;0;0;3378;2021;18,5987;2023;3323;2023
1;01;001;201;001026;1026;Bobbio Pellice;;TO;0;0;539;2021;94,0820;2023;536;2023
1;01;001;201;001027;1027;Bollengo;;TO;0;0;2098;2021;14,2237;2023;2118;2023
1;01;001;201;001028;1028;Borgaro Torinese;;TO;0;0;11827;2021;11,1093;2023;11719;2023
1;01;001;201;001029;1029;Borgiallo;;TO;0;0;582;2021;6,9647;2023;586;2023
1;01;001;201;001030;1030;Borgofranco d'Ivrea;;TO;0;0;3555;2021;13,4190;2023;3468;2023
1;01;001;201;001031;1031;Borgomasino;;TO;0;0;773;2021;12,3713;2023;768;2023
1;01;001;201;001032;1032;Borgone Susa;;TO;0;0;2151;2021;4,9616;2023;2213;2023
1;01;001;201;001033;1033;Bosconero;;TO;0;0;3066;2021;10,9191;2023;3072;2023
1;01;001;201;001034;1034;Brandizzo;;TO;0;0;8701;2021;6,3900;2023;8698;2023
1;01;001;201;001035;1035;Bricherasio;;TO;0;0;4616;2021;22,7583;2023;4601;2023
1;01;001;201;001036;1036;Brosso;;TO;0;0;394;2021;11,1350;2023;390;2023
1;01;001;201;001037;1037;Brozolo;;TO;0;0;454;2021;8,9471;2023;444;2023
1;01;001;201;001038;1038;Bruino;;TO;0;0;8489;2021;5,5702;2023;8429;2023
1;01;001;201;001039;1039;Brusasco;;TO;0;0;1490;2021;14,3591;2023;1499;2023
1;01;001;201;001040;1040;Bruzolo;;TO;0;0;1492;2021;12,5597;2023;1485;2023
1;01;001;201;001041;1041;Buriasco;;TO;0;0;1337;2021;14,6868;2023;1315;2023
1;01;001;201;001042;1042;Burolo;;TO;0;0;1105;2021;5,4760;2023;1116;2023
1;01;001;201;001043;1043;Busano;;TO;0;0;1622;2021;5,0591;2023;1595;2023
1;01;001;201;001044;1044;Bussoleno;;TO;0;0;5652;2021;37,0661;2023;5667;2023
1;01;001;201;001045;1045;Buttigliera Alta;;TO;0;0;6304;2021;8,0973;2023;6208;2023
1;01;001;201;001046;1046;Cafasse;;TO;0;0;3310;2021;10,2313;2023;3319;2023
1;01;001;201;001047;1047;Caluso;;TO;0;0;7388;2021;39,4924;2023;7334;2023
1;01;001;201;001048;1048;Cambiano;;TO;0;0;5900;2021;14,1313;2023;5884;2023
1;01;001;201;001049;1049;Campiglione Fenile;;TO;0;0;1330;2021;11,0864;2023;1305;2023
1;01;001;201;001050;1050;Candia Canavese;;TO;0;0;1209;2021;9,1318;2023;1188;2023
1;01;001;201;001051;1051;Candiolo;;TO;0;0;5610;2021;11,8499;2023;5618;2023
1;01;001;201;001052;1052;Canischio;;TO;0;0;286;2021;11,9504;2023;269;2023
1;01;001;201;001053;1053;Cantalupa;;TO;0;0;2602;2021;11,1953;2023;2589;2023
1;01;001;201;001054;1054;Cantoira;;TO;0;0;596;2021;23,0319;2023;624;2023
1;01;001;201;001055;1055;Caprie;;TO;0;0;2060;2021;16,4077;2023;2015;2023
1;01;001;201;001056;1056;Caravino;;TO;0;0;901;2021;11,5370;2023;884;2023
1;01;001;201;001057;1057;Carema;;TO;0;0;739;2021;10,2591;2023;724;2023
1;01;001;201;001058;1058;Carignano;;TO;0;0;9052;2021;50,6791;2023;9125;2023
1;01;001;201;001059;1059;Carmagnola;;TO;0;0;28313;2021;95,7163;2023;28086;2023
1;01;001;201;001060;1060;Casalborgone;;TO;0;0;1855;2021;20,1238;2023;1890;2023
1;01;001;201;001061;1061;Cascinette d'Ivrea;;TO;0;0;1524;2021;2,1726;2023;1510;2023
1;01;001;201;001062;1062;Caselette;;TO;0;0;3034;2021;14,3141;2023;3021;2023
1;01;001;201;001063;1063;Caselle Torinese;;TO;0;0;13834;2021;23,5512;2023;13765;2023
1;01;001;201;001064;1064;Castagneto Po;;TO;0;0;1763;2021;11,5245;2023;1780;2023
1;01;001;201;001065;1065;Castagnole Piemonte;;TO;0;0;2179;2021;17,2795;2023;2197;2023
1;01;001;201;001066;1066;Castellamonte;;TO;0;0;9695;2021;38,7063;2023;9792;2023
1;01;001;201;001067;1067;Castelnuovo Nigra;;TO;0;0;401;2021;28,3756;2023;397;2023
1;01;001;201;001068;1068;Castiglione Torinese;;TO;0;0;6469;2021;14,1346;2023;6491;2023
1;01;001;201;001069;1069;Cavagnolo;;TO;0;0;2226;2021;12,3286;2023;2315;2023
1;01;001;201;001070;1070;Cavour;;TO;0;0;5374;2021;48,9599;2023;5419;2023
1;01;001;201;001071;1071;Cercenasco;;TO;0;0;1782;2021;13,1596;2023;1759;2023
1;01;001;201;001072;1072;Ceres;;TO;0;0;1017;2021;28,0516;2023;1007;2023
1;01;001;201;001073;1073;Ceresole Reale;;TO;0;0;159;2021;99,8164;2023;153;2023
1;01;001;201;001074;1074;Cesana Torinese;;TO;0;0;913;2021;121,7006;2023;886;2023
1;01;001;201;001075;1075;Chialamberto;;TO;0;0;344;2021;35,4479;2023;335;2023
1;01;001;201;001076;1076;Chianocco;;TO;0;0;1552;2021;18,6132;2023;1517;2023
1;01;001;201;001077;1077;Chiaverano;;TO;0;0;1985;2021;12,0224;2023;1979;2023
1;01;001;201;001078;1078;Chieri;;TO;0;0;35916;2021;54,1967;2023;35831;2023
1;01;001;201;001079;1079;Chiesanuova;;TO;0;0;231;2021;4,1187;2023;227;2023
1;01;001;201;001080;1080;Chiomonte;;TO;0;0;870;2021;26,7550;2023;859;2023
1;01;001;201;001081;1081;Chiusa di San Michele;;TO;0;0;1556;2021;5,9167;2023;1516;2023
1;01;001;201;001082;1082;Chivasso;;TO;0;0;26275;2021;51,2027;2023;26118;2023
1;01;001;201;001083;1083;Ciconio;;TO;0;0;364;2021;3,1638;2023;368;2023
1;01;001;201;001084;1084;Cintano;;TO;0;0;240;2021;4,9344;2023;245;2023
1;01;001;201;001085;1085;Cinzano;;TO;0;0;323;2021;6,1965;2023;340;2023
1;01;001;201;001086;1086;Ciriè;;TO;0;0;18212;2021;17,7329;2023;18093;2023
1;01;001;201;001087;1087;Claviere;;TO;0;0;204;2021;2,6871;2023;200;2023
1;01;001;201;001088;1088;Coassolo Torinese;;TO;0;0;1444;2021;27,8788;2023;1466;2023
1;01;001;201;001089;1089;Coazze;;TO;0;0;3218;2021;56,5724;2023;3265;2023
1;01;001;201;001090;1090;Collegno;;TO;0;0;48574;2021;18,1075;2023;48031;2023
1;01;001;201;001091;1091;Colleretto Castelnuovo;;TO;0;0;312;2021;6,3321;2023;331;2023
1;01;001;201;001092;1092;Colleretto Giacosa;;TO;0;0;596;2021;4,5895;2023;585;2023
1;01;001;201;001093;1093;Condove;;TO;0;0;4437;2021;71,1129;2023;4437;2023
1;01;001;201;001094;1094;Corio;;TO;0;0;3048;2021;41,4917;2023;3039;2023
