Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;201;001001;1001;Agliè;;TO;0;0;2644;2011;13,1462;2019;2621;2019
1;01;001;201;001002;1002;Airasca;;TO;0;0;3819;2011;15,7393;2019;3598;2019
1;01;001;201;001003;1003;Ala di Stura;;TO;0;0;462;2011;46,3315;2019;441;2019
1;01;001;201;001004;1004;Albiano d'Ivrea;;TO;0;0;1791;2011;11,7314;2019;1644;2019
1;01;001;201;001006;1006;Almese;;TO;0;0;6303;2011;17,8756;2019;6426;2019
1;01;001;201;001007;1007;Alpette;;TO;0;0;277;2011;5,6261;2019;248;2019
1;01;001;201;001008;1008;Alpignano;;TO;0;0;16893;2011;11,9193;2019;16945;2019
1;01;001;201;001009;1009;Andezeno;;TO;0;0;1966;2011;7,4860;2019;2041;2019
1;01;001;201;001010;1010;Andrate;;TO;0;0;512;2011;9,3085;2019;492;2019
1;01;001;201;001011;1011;Angrogna;;TO;0;0;870;2011;38,8782;2019;846;2019
1;01;001;201;001012;1012;Arignano;;TO;0;0;1039;2011;8,1668;2019;1081;2019
1;01;001;201;001013;1013;Avigliana;;TO;0;0;12129;2011;23,2172;2019;12611;2019
1;01;001;201;001014;1014;Azeglio;;TO;0;0;1347;2011;9,9605;2019;1244;2019
1;01;001;201;001015;1015;Bairo;;TO;0;0;816;2011;7,0859;2019;797;2019
1;01;001;201;001016;1016;Balangero;;TO;0;0;3161;2011;13,0063;2019;3153;2019
1;01;001;201;001017;1017;Baldissero Canavese;;TO;0;0;534;2011;4,5064;2019;531;2019
1;01;001;201;001018;1018;Baldissero Torinese;;TO;0;0;3783;2011;15,4054;2019;3601;2019
1;01;001;201;001019;1019;Balme;;TO;0;0;95;2011;62,7105;2019;114;2019
1;01;001;201;001020;1020;Banchette;;TO;0;0;3280;2011;2,0289;2019;3191;2019
1;01;001;201;001021;1021;Barbania;;TO;0;0;1623;2011;12,8027;2019;1567;2019
1;01;001;201;001022;1022;Bardonecchia;;TO;0;0;3212;2011;132,2030;2019;3148;2019
1;01;001;201;001023;1023;Barone Canavese;;TO;0;0;599;2011;3,9864;2019;578;2019
1;01;001;201;001024;1024;Beinasco;;TO;0;0;18104;2011;6,7343;2019;17785;2019
1;01;001;201;001025;1025;Bibiana;;TO;0;0;3376;2011;18,5979;2019;3470;2019
1;01;001;201;001026;1026;Bobbio Pellice;;TO;0;0;566;2011;94,0819;2019;547;2019
1;01;001;201;001027;1027;Bollengo;;TO;0;0;2112;2011;14,2234;2019;2131;2019
1;01;001;201;001028;1028;Borgaro Torinese;;TO;0;0;11723;2011;11,1039;2019;11907;2019
1;01;001;201;001029;1029;Borgiallo;;TO;0;0;550;2011;6,9648;2019;588;2019
1;01;001;201;001030;1030;Borgofranco d'Ivrea;;TO;0;0;3643;2011;13,4189;2019;3596;2019
1;01;001;201;001031;1031;Borgomasino;;TO;0;0;835;2011;12,3712;2019;790;2019
1;01;001;201;001032;1032;Borgone Susa;;TO;0;0;2320;2011;4,9617;2019;2197;2019
1;01;001;201;001033;1033;Bosconero;;TO;0;0;3056;2011;10,9190;2019;3095;2019
1;01;001;201;001034;1034;Brandizzo;;TO;0;0;8402;2011;6,2914;2019;8638;2019
1;01;001;201;001035;1035;Bricherasio;;TO;0;0;4517;2011;22,7585;2019;4593;2019
1;01;001;201;001036;1036;Brosso;;TO;0;0;460;2011;11,1350;2019;401;2019
