Codice Ripartizione geografica;Codice Regione;Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;001066;1066;Castellamonte;;TO;0;0;9917;2011;38,7063;2011;9974;2011
1;01;001;001067;1067;Castelnuovo Nigra;;TO;0;0;417;2011;28,3756;2011;427;2011
1;01;001;001068;1068;Castiglione Torinese;;TO;0;0;6363;2011;14,1345;2011;6387;2011
1;01;001;001069;1069;Cavagnolo;;TO;0;0;2309;2011;12,3285;2011;2322;2011
1;01;001;001070;1070;Cavour;;TO;0;0;5568;2011;48,9591;2011;5614;2011
1;01;001;001071;1071;Cercenasco;;TO;0;0;1857;2011;13,1595;2011;1876;2011
1;01;001;001072;1072;Ceres;;TO;0;0;1056;2011;28,0516;2011;1063;2011
1;01;001;001073;1073;Ceresole Reale;;TO;0;0;159;2011;99,8147;2011;162;2011
1;01;001;001074;1074;Cesana Torinese;;TO;0;0;1007;2011;121,7001;2011;1019;2011
1;01;001;001075;1075;Chialamberto;;TO;0;0;364;2011;35,4478;2011;368;2011
1;01;001;001076;1076;Chianocco;;TO;0;0;1700;2011;18,6134;2011;1692;2011
1;01;001;001077;1077;Chiaverano;;TO;0;0;2106;2011;12,0221;2011;2110;2011
1;01;001;001078;1078;Chieri;;TO;0;0;35962;2011;54,1975;2011;36176;2011
1;01;001;001079;1079;Chiesanuova;;TO;0;0;203;2011;4,1189;2011;204;2011
1;01;001;001080;1080;Chiomonte;;TO;0;0;932;2011;26,7549;2011;947;2011
1;01;001;001081;1081;Chiusa di San Michele;;TO;0;0;1691;2011;5,9165;2011;1704;2011
1;01;001;001082;1082;Chivasso;;TO;0;0;25914;2011;51,2378;2011;26363;2011
1;01;001;001083;1083;Ciconio;;TO;0;0;371;2011;3,1638;2011;375;2011
1;01;001;001084;1084;Cintano;;TO;0;0;261;2011;4,9345;2011;262;2011
1;01;001;001085;1085;Cinzano;;TO;0;0;375;2011;6,1962;2011;375;2011
1;01;001;001086;1086;Ciriè;;TO;0;0;18415;2011;17,7329;2011;18733;2011
1;01;001;001087;1087;Claviere;;TO;0;0;192;2011;2,6872;2011;208;2011
1;01;001;001088;1088;Coassolo Torinese;;TO;0;0;1550;2011;27,8788;2011;1557;2011
1;01;001;001089;1089;Coazze;;TO;0;0;3084;2011;56,5727;2011;3199;2011
1;01;001;001090;1090;Collegno;;TO;0;0;49083;2011;18,0993;2011;49560;2011
1;01;001;001091;1091;Colleretto Castelnuovo;;TO;0;0;347;2011;6,3321;2011;355;2011
1;01;001;001092;1092;Colleretto Giacosa;;TO;0;0;603;2011;4,5894;2011;606;2011
1;01;001;001093;1093;Condove;;TO;0;0;4670;2011;71,1131;2011;4717;2011
1;01;001;001094;1094;Corio;;TO;0;0;3330;2011;41,4914;2011;3342;2011
1;01;001;001095;1095;Cossano Canavese;;TO;0;0;522;2011;3,2384;2011;524;2011
1;01;001;001096;1096;Cuceglio;;TO;0;0;997;2011;6,8709;2011;1001;2011
1;01;001;001097;1097;Cumiana;;TO;0;0;7825;2011;60,7335;2011;7876;2011
1;01;001;001098;1098;Cuorgnè;;TO;0;0;10084;2011;19,3134;2011;10197;2011
1;01;001;001099;1099;Druento;;TO;0;0;8436;2011;27,5395;2011;8509;2011
1;01;001;001100;1100;Exilles;;TO;0;0;266;2011;46,5474;2011;267;2011
1;01;001;001101;1101;Favria;;TO;0;0;5230;2011;14,8499;2011;5284;2011
1;01;001;001102;1102;Feletto;;TO;0;0;2269;2011;7,8931;2011;2320;2011
1;01;001;001103;1103;Fenestrelle;;TO;0;0;553;2011;49,4091;2011;561;2011
1;01;001;001104;1104;Fiano;;TO;0;0;2713;2011;12,0415;2011;2717;2011
1;01;001;001105;1105;Fiorano Canavese;;TO;0;0;837;2011;4,3457;2011;844;2011
1;01;001;001106;1106;Foglizzo;;TO;0;0;2331;2011;15,6427;2011;2375;2011
1;01;001;001107;1107;Forno Canavese;;TO;0;0;3612;2011;16,5003;2011;3653;2011
1;01;001;001108;1108;Frassinetto;;TO;0;0;272;2011;24,8185;2011;272;2011
1;01;001;001109;1109;Front;;TO;0;0;1726;2011;10,9482;2011;1744;2011
1;01;001;001110;1110;Frossasco;;TO;0;0;2840;2011;20,1488;2011;2895;2011
1;01;001;001111;1111;Garzigliana;;TO;0;0;557;2011;7,4018;2011;567;2011
1;01;001;001112;1112;Gassino Torinese;;TO;0;0;9536;2011;20,5108;2011;9579;2011
1;01;001;001113;1113;Germagnano;;TO;0;0;1256;2011;14,4442;2011;1267;2011
1;01;001;001114;1114;Giaglione;;TO;0;0;653;2011;33,3833;2011;657;2011
1;01;001;001115;1115;Giaveno;;TO;0;0;16281;2011;71,7376;2011;16537;2011
1;01;001;001116;1116;Givoletto;;TO;0;0;3640;2011;12,8199;2011;3696;2011
1;01;001;001117;1117;Gravere;;TO;0;0;715;2011;18,9870;2011;720;2011
1;01;001;001118;1118;Groscavallo;;TO;0;0;191;2011;92,0935;2011;193;2011
1;01;001;001119;1119;Grosso;;TO;0;0;1040;2011;4,3296;2011;1040;2011
1;01;001;001120;1120;Grugliasco;;TO;0;0;37194;2011;13,1321;2011;37692;2011
1;01;001;001121;1121;Ingria;;TO;0;0;49;2011;14,7506;2011;48;2011
1;01;001;001122;1122;Inverso Pinasca;;TO;0;0;741;2011;8,0292;2011;734;2011
1;01;001;001123;1123;Isolabella;;TO;0;0;393;2011;4,7716;2011;395;2011
1;01;001;001124;1124;Issiglio;;TO;0;0;425;2011;5,5042;2011;441;2011
1;01;001;001125;1125;Ivrea;;TO;0;0;23592;2011;30,1075;2011;23929;2011
1;01;001;001126;1126;La Cassa;;TO;0;0;1781;2011;12,0353;2011;1801;2011
1;01;001;001127;1127;La Loggia;;TO;0;0;8631;2011;12,7929;2011;8669;2011
1;01;001;001128;1128;Lanzo Torinese;;TO;0;0;5150;2011;10,2876;2011;5232;2011
1;01;001;001129;1129;Lauriano;;TO;0;0;1493;2011;14,2900;2011;1525;2011
1;01;001;001130;1130;Leini;;TO;0;0;15523;2011;32,4355;2011;15773;2011
1;01;001;001131;1131;Lemie;;TO;0;0;189;2011;45,6753;2011;188;2011
1;01;001;001132;1132;Lessolo;;TO;0;0;1982;2011;7,9366;2011;1983;2011
1;01;001;001133;1133;Levone;;TO;0;0;439;2011;5,3912;2011;455;2011
1;01;001;001134;1134;Locana;;TO;0;0;1601;2011;132,5173;2011;1601;2011
1;01;001;001135;1135;Lombardore;;TO;0;0;1706;2011;12,7158;2011;1708;2011
1;01;001;001136;1136;Lombriasco;;TO;0;0;1056;2011;7,2096;2011;1090;2011
1;01;001;001137;1137;Loranzè;;TO;0;0;1126;2011;4,1914;2011;1145;2011
1;01;001;001138;1138;Lugnacco;;TO;0;0;379;2011;4,8835;2011;384;2011
1;01;001;001139;1139;Luserna San Giovanni;;TO;0;0;7531;2011;17,7414;2011;7615;2011
1;01;001;001140;1140;Lusernetta;;TO;0;0;524;2011;7,0398;2011;515;2011
1;01;001;001141;1141;Lusigliè;;TO;0;0;556;2011;5,2585;2011;557;2011
1;01;001;001142;1142;Macello;;TO;0;0;1238;2011;14,1404;2011;1237;2011
1;01;001;001143;1143;Maglione;;TO;0;0;468;2011;6,3129;2011;474;2011
1;01;001;001144;1144;Marentino;;TO;0;0;1383;2011;11,2593;2011;1389;2011
1;01;001;001145;1145;Massello;;TO;0;0;58;2011;38,2587;2011;58;2011
1;01;001;001146;1146;Mathi;;TO;0;0;3985;2011;7,0706;2011;4009;2011
1;01;001;001147;1147;Mattie;;TO;0;0;707;2011;28,6942;2011;716;2011
1;01;001;001148;1148;Mazzè;;TO;0;0;4152;2011;27,3424;2011;4205;2011
1;01;001;001149;1149;Meana di Susa;;TO;0;0;880;2011;16,5439;2011;889;2011
1;01;001;001150;1150;Mercenasco;;TO;0;0;1267;2011;12,6383;2011;1279;2011
1;01;001;001151;1151;Meugliano;;TO;0;0;93;2011;4,4420;2011;92;2011
1;01;001;001152;1152;Mezzenile;;TO;0;0;834;2011;29,0871;2011;841;2011
1;01;001;001153;1153;Mombello di Torino;;TO;0;0;411;2011;4,0825;2011;414;2011
1;01;001;001154;1154;Mompantero;;TO;0;0;651;2011;30,3332;2011;653;2011
1;01;001;001155;1155;Monastero di Lanzo;;TO;0;0;381;2011;17,6554;2011;380;2011
1;01;001;001156;1156;Moncalieri;;TO;0;0;55875;2011;47,5288;2011;57253;2011
1;01;001;001157;1157;Moncenisio;;TO;0;0;42;2011;4,5007;2011;42;2011
1;01;001;001158;1158;Montaldo Torinese;;TO;0;0;749;2011;4,6567;2011;752;2011
1;01;001;001159;1159;Montalenghe;;TO;0;0;1030;2011;6,4681;2011;1042;2011
1;01;001;001160;1160;Montalto Dora;;TO;0;0;3450;2011;7,3567;2011;3491;2011
1;01;001;001161;1161;Montanaro;;TO;0;0;5375;2011;20,9036;2011;5407;2011
1;01;001;001162;1162;Monteu da Po;;TO;0;0;901;2011;7,3896;2011;905;2011
1;01;001;001163;1163;Moriondo Torinese;;TO;0;0;820;2011;6,4895;2011;829;2011
1;01;001;001164;1164;Nichelino;;TO;0;0;47851;2011;20,5627;2011;48418;2011
1;01;001;001165;1165;Noasca;;TO;0;0;169;2011;78,0481;2011;174;2011
1;01;001;001166;1166;Nole;;TO;0;0;6910;2011;11,3530;2011;6952;2011
1;01;001;001167;1167;Nomaglio;;TO;0;0;312;2011;3,0743;2011;312;2011
1;01;001;001168;1168;None;;TO;0;0;7998;2011;24,6422;2011;8063;2011
1;01;001;001169;1169;Novalesa;;TO;0;0;560;2011;28,5542;2011;555;2011
1;01;001;001170;1170;Oglianico;;TO;0;0;1426;2011;6,3030;2011;1426;2011
1;01;001;001171;1171;Orbassano;;TO;0;0;22537;2011;22,2078;2011;22710;2011
1;01;001;001172;1172;Orio Canavese;;TO;0;0;829;2011;7,1541;2011;834;2011
1;01;001;001173;1173;Osasco;;TO;0;0;1124;2011;5,4885;2011;1141;2011
1;01;001;001174;1174;Osasio;;TO;0;0;913;2011;4,5771;2011;913;2011
1;01;001;001175;1175;Oulx;;TO;0;0;3160;2011;99,7857;2011;3192;2011
1;01;001;001176;1176;Ozegna;;TO;0;0;1235;2011;5,4058;2011;1240;2011
1;01;001;001177;1177;Palazzo Canavese;;TO;0;0;843;2011;5,0819;2011;843;2011
1;01;001;001178;1178;Pancalieri;;TO;0;0;1985;2011;15,8878;2011;2001;2011
1;01;001;001179;1179;Parella;;TO;0;0;468;2011;2,6886;2011;463;2011
1;01;001;001180;1180;Pavarolo;;TO;0;0;1119;2011;4,4056;2011;1124;2011
